"trip_id"	"household_id"	"person_n"	"trip_n"	"travel_mode"	"purpose"	"fueltype"	"faretype"	"bus_scale"	"survey_year"	"travel_year"	"travel_month"	"travel_date"	"day_of_week"	"start_time"	"age"	"female"	"driving_license"	"car_ownership"	"distance"	"dur_walking"	"dur_cycling"	"dur_pt_access"	"dur_pt_rail"	"dur_pt_bus"	"dur_pt_int"	"pt_interchanges"	"dur_driving"	"cost_transit"	"cost_driving_fuel"	"cost_driving_ccharge"	"driving_traffic_percent"	"W"
"18"	54589	11684	2	1	3	2	1	3	0	2	2014	3	18	2	15	15	0	0	1	2222	0.580277778	0.1975	0.176944444	0	0.320277778	0	0	0.176388889	0	0.53	0	0.286614	1.21475236566241
"19"	69034	14922	2	2	3	3	6	3	0	3	2014	10	1	3	17	15	0	0	0	1427	0.381944444	0.1275	0.110555556	0	0.148611111	0	0	0.145	0	0.29	0	0.54023	1.21475236566241
"20"	48263	10301	0	0	3	2	6	1	1	2	2013	12	9	1	10	39	1	0	0	4257	0.968055556	0.283055556	0.265555556	0	0.25	0	0	0.301666667	1.5	0.71	0	0.550645	1.06560342319147
"21"	28448	6159	1	6	4	3	2	1	1	2	2013	4	15	1	22.5	61	0	1	2	7613	1.788888889	0.480277778	0.048611111	0	0.483333333	0.2	1	0.236666667	3	1.06	0	0.124413	0.848964507070372
"22"	34016	7294	0	0	4	3	6	1	1	2	2013	6	23	7	16.5	41	1	1	0	5135	1.371111111	0.488611111	0.208333333	0	0.5	0	0	0.363333333	1.5	1.04	0	0.204128	0.836779970608957
"23"	50072	10706	0	1	3	1	6	1	1	2	2014	1	9	4	23.5	27	1	0	0	11676	2.715833333	0.798611111	0.236388889	0.4	0	0	0	0.464722222	2.8	1.62	0	0.557083	1.06560342319147
"24"	55955	12001	0	2	4	3	2	1	1	3	2014	4	18	5	18	32	0	1	2	10687	2.641388889	0.819444444	0.203055556	0.116666667	0.467777778	0.2	2	0.548888889	5.1	1.66	0	0.277328	1.21475236566241
"25"	60790	13031	0	2	1	4	1	5	0	3	2014	6	18	3	18.85	61	0	1	2	760	0.147777778	0.028611111	0.048888889	0	0.026944444	0	0	0.038611111	0	0.12	0	0.0935252	0.848964507070372
"26"	50173	10732	0	0	3	4	3	5	0	2	2014	1	10	5	9.5	70	0	1	1	3789	0.970555556	0.389166667	0.1125	0.233333333	0	0	0	0.358888889	0	0.9	0	0.681115	0.848964507070372
"27"	31194	6728	0	3	4	5	1	1	1	2	2013	5	22	3	15.51666667	43	1	1	1	6286	1.463055556	0.554444444	0.121111111	0.3	0	0.083333333	1	0.528333333	2.4	1.24	0	0.685068	0.836779970608957
"28"	42421	9068	2	3	4	3	1	3	0	2	2013	9	29	7	22.83333333	11	1	0	1	2012	0.622222222	0.166388889	0.165833333	0	0.106666667	0	0	0.143333333	0	0.43	0	0.0368217	1.06560342319147
"29"	55706	11935	2	2	1	3	2	3	0	3	2014	4	13	7	13.83333333	11	0	0	2	1472	0.3975	0.138888889	0.154444444	0	0.093611111	0	0	0.120833333	0	0.24	0	0.43908	1.21475236566241
"30"	6362	1305	0	2	4	3	1	1	1	1	2012	6	19	2	8.783333333	37	1	1	2	1280	0.342777778	0.129166667	0.052777778	0	0.1225	0	0	0.071666667	1.5	0.22	0	0.399225	1.06560342319147
"31"	65763	14173	2	1	4	5	1	5	0	3	2014	8	19	2	9.333333333	9	1	0	2	489	0.148055556	0.041388889	0.126388889	0	0.016666667	0	0	0.045	0	0.11	0	0.0925926	1.06560342319147
"32"	11131	2351	0	0	3	4	6	1	1	1	2012	8	10	5	8.5	40	0	0	0	20027	4.381666667	1.318611111	0.205833333	0.616666667	0.108333333	0.15	1	0.883611111	7.7	2.8	0	0.643508	1.21475236566241
"33"	78521	17018	0	0	4	3	2	1	1	3	2015	2	1	7	12.5	54	1	0	1	1940	0.540277778	0.198888889	0.145277778	0	0.233333333	0	0	0.148055556	1.5	0.39	0	0.168856	0.836779970608957
"34"	53026	11345	0	1	1	5	1	1	1	2	2014	2	14	5	13.5	43	1	1	2	477	0.103611111	0.025	0	0	0.035833333	0	0	0.040833333	1.5	0.09	0	0.836735	0.836779970608957
"35"	76714	16599	0	2	3	3	6	1	1	3	2015	1	9	5	22.5	24	0	0	0	8264	2.062777778	0.676111111	0.084722222	0.283333333	0.197777778	0.100277778	1	0.619166667	3.9	1.59	0	0.493943	1.21475236566241
"36"	10137	2114	0	0	3	3	1	1	1	1	2012	7	28	6	13	39	1	0	1	13410	3.256111111	1.024444444	0.338611111	0.483333333	0	0.1	1	0.897777778	2.8	2.61	10.5	0.623762	1.06560342319147
"37"	44892	9590	1	0	3	2	1	1	1	2	2013	10	27	7	8	41	1	1	1	6372	1.538611111	0.4675	0.067777778	0	0.408055556	0.123333333	1	0.291111111	3	0.97	0	0.482824	0.836779970608957
"38"	38051	8129	1	2	3	3	1	1	1	2	2013	8	6	2	15	55	1	1	1	10373	2.341111111	0.741666667	0.268055556	0.4	0	0	0	0.387777778	2.8	1.41	0	0.629656	0.836779970608957
"39"	69840	15108	1	1	3	5	2	1	1	3	2014	10	11	6	10.5	56	0	1	1	8487	2.042222222	0.71	0.116388889	0.3	0.4	0.116666667	1	0.5	3.9	1.27	10.5	0.605	0.848964507070372
"40"	49940	10674	0	1	1	2	6	1	1	2	2014	1	7	2	9	45	1	0	0	1134	0.301944444	0.1125	0.139444444	0	0.157222222	0	0	0.130555556	1.5	0.31	0	0.110638	0.836779970608957
"41"	8316	1716	1	1	4	4	2	4	1	1	2012	7	9	1	11.5	34	0	1	2	14861	3.588333333	1.301388889	0.141666667	0.533333333	0	0.116666667	1	0.715277778	3.65	2.15	10.5	0.425631	1.21475236566241
"42"	78043	16902	0	0	1	3	1	5	0	3	2015	1	26	1	11.5	71	0	1	1	972	0.221666667	0.074166667	0.094444444	0	0.059166667	0	0	0.066944444	0	0.16	0	0.186722	0.848964507070372
"43"	34143	7325	1	0	4	4	1	1	1	2	2013	6	25	2	6.5	33	0	1	1	6143	1.616111111	0.492777778	0.083888889	0	0.679166667	0	0	0.314166667	1.5	1.09	0	0.122016	1.21475236566241
"44"	36731	7840	2	0	4	3	1	5	0	2	2013	7	21	7	9.5	7	0	0	1	4366	1.094722222	0.413611111	0.302777778	0	0.31	0	0	0.196111111	0	0.68	0	0.0949008	1.21475236566241
"45"	44996	9613	1	1	4	3	1	1	1	2	2013	10	28	1	15	21	0	1	2	3362	0.866111111	0.243611111	0.263888889	0	0.240555556	0	0	0.199166667	1.5	0.62	0	0.0962343	1.21475236566241
"46"	17212	3627	0	1	1	5	6	4	0.5	1	2012	10	21	7	12.58333333	27	1	0	0	1125	0.285277778	0.112777778	0.248888889	0	0.05	0	0	0.111666667	0.75	0.25	0	0.430348	1.06560342319147
"47"	31605	6802	2	3	3	3	2	5	0	2	2013	5	28	2	12.16666667	21	0	0	1	1979	0.523333333	0.12	0.230555556	0	0.118055556	0	0	0.116666667	0	0.34	0	0.135714	1.21475236566241
"48"	17524	3701	0	1	3	2	1	4	0	1	2012	10	25	4	17	18	0	0	1	2438	0.630833333	0.157222222	0.274444444	0	0.14	0	0	0.133611111	0	0.43	0	0.139293	1.21475236566241
"49"	61654	13217	1	8	4	3	6	1	1	3	2014	6	27	5	20.5	45	1	1	2	4728	1.194444444	0.403333333	0.185555556	0	0.291388889	0	0	0.231111111	1.5	0.78	0	0.112981	0.836779970608957
"50"	55740	11946	1	0	1	1	2	5	0	3	2014	4	14	1	8	60	1	0	1	3020	0.836666667	0.250555556	0.368611111	0.116666667	0	0	0	0.265277778	0	0.57	0	0.445026	0.836779970608957
"51"	17962	3795	1	2	3	3	6	5	0	1	2012	10	30	2	16.5	5	1	0	0	755	0.203611111	0.066944444	0.065277778	0	0.076111111	0	0	0.059166667	0	0.14	0	0.225352	1.06560342319147
"52"	12128	2577	0	2	4	5	1	5	0	1	2012	8	24	5	9.666666667	57	1	1	2	1734	0.530833333	0.139722222	0.264166667	0	0.2	0	0	0.162777778	0	0.45	0	0.192833	0.836779970608957
"53"	75000	16223	0	5	3	3	6	5	0	3	2014	12	10	3	20.5	81	0	0	0	7718	1.8475	0.578888889	0.124722222	0.25	0.189444444	0.166666667	1	0.421944444	0	1.25	0	0.370639	0.848964507070372
"54"	703	173	0	2	2	1	6	4	1	1	2012	4	13	5	16.5	30	1	0	0	2765	0.6875	0.229722222	0.096388889	0	0.306666667	0	0	0.160277778	1.5	0.49	0	0.343154	1.06560342319147
"55"	64899	13967	1	2	4	3	2	5	0	3	2014	8	5	2	12.66666667	70	1	0	1	3972	1.058055556	0.312222222	0.133888889	0	0.373055556	0	0	0.27	0	0.74	0	0.11214	0.836779970608957
"56"	8320	1716	1	5	4	4	2	4	1	1	2012	7	9	1	17	34	0	1	2	6722	2	0.699166667	0.193888889	0	0.604166667	0.2875	2	0.333888889	4.5	1.21	0	0.180532	1.21475236566241
"57"	27939	6047	1	1	1	1	1	1	1	2	2013	4	9	2	16.5	27	0	1	1	564	0.165277778	0.04	0.075555556	0	0.021388889	0	0	0.0675	1.5	0.15	0	0.193416	1.21475236566241
"58"	63970	13740	1	3	4	1	1	1	1	3	2014	7	22	2	17.16666667	21	0	1	1	4521	1.104722222	0.355277778	0.231944444	0	0.366666667	0	0	0.251666667	1.5	0.75	0	0.179912	1.21475236566241
"59"	6213	1271	1	2	4	3	2	1	1	1	2012	6	16	6	15.5	47	0	1	2	9529	2.545	0.700833333	0.601111111	0	0.535555556	0.083333333	1	0.364444444	3	1.32	0	0.163872	0.848964507070372
"60"	42629	9103	1	4	3	3	1	5	0	2	2013	10	1	2	18.25	28	1	1	1	10400	2.412222222	0.795833333	0.212222222	0.466666667	0	0.083333333	1	0.789166667	0	2.03	0	0.678282	1.06560342319147
"61"	6280	1287	0	2	4	3	1	1	1	1	2012	6	18	1	12.5	42	1	1	2	3059	0.739444444	0.228611111	0.11	0	0.268888889	0.1	1	0.214444444	3	0.56	0	0.637306	0.836779970608957
"62"	51481	11019	0	1	4	3	2	1	1	2	2014	1	25	6	19	38	1	1	1	1890	0.470277778	0.143888889	0.113611111	0	0.102777778	0	0	0.127777778	1.5	0.3	0	0.169565	1.06560342319147
"63"	30089	6492	0	1	3	4	1	5	0	2	2013	5	8	3	13.91666667	67	1	1	1	3969	1.031388889	0.300833333	0.2825	0	0.278611111	0	0	0.250555556	0	0.82	0	0.10643	0.836779970608957
"64"	36560	7807	0	3	4	3	1	1	1	2	2013	7	19	5	19	50	0	1	1	1451	0.422222222	0.115277778	0.201666667	0	0.132222222	0	0	0.121666667	1.5	0.32	0	0.260274	0.848964507070372
"65"	49586	10593	1	0	3	1	6	1	1	2	2014	1	3	5	8.25	36	0	1	0	9852	2.185833333	0.723055556	0.119166667	0.333333333	0.106666667	0.133333333	1	0.7025	5	1.58	10.5	0.740609	1.21475236566241
"66"	10391	2172	1	2	3	3	6	1	1	1	2012	7	30	1	20.75	43	0	1	0	9139	2.253333333	0.676111111	0.176388889	0.2	0	0	0	0.536944444	2.8	1.53	0	0.467667	0.848964507070372
"67"	61901	13272	1	1	1	3	6	1	1	3	2014	6	29	7	16.33333333	37	1	1	0	1004	0.256388889	0.121388889	0.177222222	0	0.057222222	0	0	0.098055556	1.5	0.21	0	0.419263	1.06560342319147
"68"	69469	15020	0	2	1	5	1	5	0	3	2014	10	7	2	13.91666667	69	0	1	1	567	0.159166667	0.050555556	0.116944444	0	0.029166667	0	0	0.091944444	0	0.2	10.5	0.595166	0.848964507070372
"69"	54061	11577	1	2	4	3	1	1	1	2	2014	3	6	4	12	40	0	1	1	1594	0.456666667	0.163888889	0.245277778	0.066666667	0	0	0	0.149444444	1.5	0.44	0	0.197026	1.21475236566241
"70"	33749	7252	3	2	4	3	1	3	0	2	2013	6	20	4	18.83333333	11	1	0	1	2894	0.77	0.222222222	0.079722222	0	0.314722222	0	0	0.244722222	0	0.6	0	0.250851	1.06560342319147
"71"	29364	6348	0	0	3	1	6	1	1	2	2013	4	26	5	7.916666667	29	0	1	0	3284	0.715277778	0.195555556	0.033333333	0	0.260833333	0	0	0.174166667	1.5	0.49	0	0.583732	1.21475236566241
"72"	61060	13087	0	0	1	3	6	1	1	3	2014	6	21	6	16	50	1	1	0	593	0.155	0.059444444	0.075277778	0	0.022222222	0	0	0.039444444	1.5	0.1	0	0.119718	0.836779970608957
"73"	49989	10686	0	2	3	3	1	5	0	2	2014	1	8	3	16	72	0	1	2	7668	1.821944444	0.499444444	0.089166667	0.233333333	0.183333333	0.116666667	1	0.577777778	0	1.55	0	0.646154	0.848964507070372
"74"	48990	10447	0	2	1	2	2	1	1	2	2013	12	18	3	15.25	40	1	0	1	619	0.171388889	0.046944444	0.113888889	0	0.019444444	0	0	0.0525	1.5	0.11	0	0.132275	1.06560342319147
"75"	32152	6932	1	1	1	2	1	1	1	2	2013	6	4	2	8.766666667	44	0	1	2	620	0.186111111	0.109444444	0.136111111	0	0.033333333	0	0	0.143333333	1.5	0.35	0	0.0697674	0.848964507070372
"76"	58045	12453	0	0	3	2	6	4	0.5	3	2014	5	16	5	8.166666667	26	1	0	0	2223	0.607777778	0.178611111	0.313333333	0.066666667	0	0	0	0.173333333	1.15	0.47	0	0.1875	1.06560342319147
"77"	73288	15871	1	2	4	4	1	1	1	3	2014	11	22	6	10.03333333	55	1	1	2	1699	0.5325	0.201388889	0.246944444	0	0.1375	0	0	0.123333333	1.5	0.38	0	0.0518018	0.836779970608957
"78"	51211	10957	1	1	1	5	6	3	0	2	2014	1	22	3	15.66666667	15	1	0	0	717	0.192222222	0.099444444	0.070277778	0	0.101666667	0	0	0.120277778	0	0.22	0	0.579677	1.06560342319147
"79"	41016	8768	1	2	3	3	1	1	1	2	2013	9	12	4	20.66666667	41	0	1	1	5286	1.229722222	0.413333333	0.078333333	0.1	0.228611111	0.098333333	1	0.376944444	3.9	1.02	0	0.655122	0.848964507070372
"80"	52257	11189	0	0	3	2	6	4	0.5	2	2014	2	5	3	11	32	1	0	0	2445	0.642777778	0.282777778	0.184444444	0	0.28	0	0	0.334444444	0.75	0.65	0	0.869601	1.06560342319147
"81"	26988	5826	2	0	3	3	6	1	1	1	2013	3	8	5	15	19	0	0	0	2826	0.680833333	0.205833333	0.220277778	0.116666667	0	0	0	0.306666667	1.5	0.58	0	0.360507	1.21475236566241
"82"	11153	2355	0	2	4	3	1	1	1	1	2012	8	10	5	20.75	32	1	1	1	7190	1.742777778	0.525555556	0.168055556	0.166666667	0.074722222	0.1	1	0.299444444	3	1.14	0	0.118738	1.06560342319147
"83"	52566	11251	0	2	3	5	6	5	0	2	2014	2	8	6	15.5	70	1	0	0	914	0.2	0.111944444	0.099444444	0	0.138888889	0	0	0.097222222	0	0.23	0	0.46	0.836779970608957
"84"	35817	7657	2	1	1	1	6	1	1	2	2013	7	11	4	17	47	0	1	1	1347	0.322222222	0.078888889	0.041388889	0	0.086944444	0	0	0.071388889	1.5	0.2	0	0.128405	0.848964507070372
"85"	41829	8936	2	0	4	3	1	5	0	2	2013	9	21	6	9.75	6	1	0	1	2833	0.770833333	0.251944444	0.176111111	0	0.209722222	0	0	0.186388889	0	0.54	0	0.484352	1.06560342319147
"86"	71600	15510	2	2	1	3	1	3	0	3	2014	11	1	6	15	13	0	0	1	848	0.227777778	0.084722222	0.096666667	0	0.054166667	0	0	0.062222222	0	0.17	0	0.107143	1.21475236566241
"87"	38587	8248	0	0	4	1	1	5	0	2	2013	8	12	1	7	63	0	1	2	8730	2.004444444	0.548055556	0.021388889	0.166666667	0.1	0.183333333	1	0.358055556	0	1.25	0	0.373158	0.848964507070372
"88"	14314	3046	0	0	3	3	6	5	0	1	2012	9	19	3	10.5	70	1	0	0	3204	0.800555556	0.26	0.151666667	0	0.297777778	0	0	0.213888889	0	0.54	0	0.14026	0.836779970608957
"89"	7890	1616	0	1	4	3	1	1	1	1	2012	7	3	2	9.916666667	59	0	1	2	1895	0.456388889	0.138333333	0.209166667	0	0.066666667	0	0	0.109722222	1.5	0.33	0	0.0481013	0.848964507070372
"90"	23558	5089	0	0	3	3	6	1	0.5	1	2013	1	23	3	10	22	1	1	0	1765	0.47	0.1975	0.26	0.016666667	0	0	0	0.212777778	2.4	0.41	10.5	0.477807	1.06560342319147
"91"	1320	285	2	0	4	4	2	3	0	1	2012	4	20	5	8.833333333	15	1	0	2	1023	0.35	0.094444444	0.107222222	0	0.13	0	0	0.09	0	0.23	0	0.277778	1.06560342319147
"92"	10696	2245	2	1	3	3	6	1	1	1	2012	8	3	5	16	18	1	0	0	4827	1.0875	0.375555556	0.140555556	0	0.443611111	0	0	0.351944444	1.5	0.9	0	0.413575	1.06560342319147
"93"	15045	3187	1	1	4	3	2	1	1	1	2012	9	28	5	15.58333333	55	1	1	2	5435	1.302222222	0.4925	0.176944444	0.15	0.066944444	0.111666667	1	0.329722222	3.79	0.85	0	0.326874	0.836779970608957
"94"	64815	13942	4	1	4	3	2	5	0	3	2014	8	2	6	18	8	0	0	2	9212	2.185555556	0.647222222	0.158888889	0.35	0	0.116666667	1	0.553888889	0	1.38	0	0.478937	1.21475236566241
"95"	59122	12675	0	3	1	3	1	1	1	3	2014	5	30	5	17.33333333	44	1	1	2	1307	0.366944444	0.159722222	0.283055556	0	0.034444444	0	0	0.093888889	1.5	0.27	0	0.328402	0.836779970608957
"96"	74662	16148	0	0	3	3	6	1	1	3	2014	12	6	6	19	22	1	1	0	14074	3.244722222	1.008333333	0.205555556	0.5	0	0	0	0.855	2.8	2.23	0	0.607537	1.06560342319147
"97"	58316	12516	1	1	4	5	1	1	1	3	2014	5	19	1	9.333333333	41	1	1	1	4326	0.966944444	0.355833333	0.1675	0	0.2025	0	0	0.24	1.5	0.71	0	0.431713	0.836779970608957
"98"	700	172	0	1	3	1	6	1	1	1	2012	4	13	5	18.5	50	0	1	0	12539	3.061388889	1.021666667	0.15	0.516666667	0	0.083333333	1	0.763611111	3.9	2.21	0	0.551837	0.848964507070372
"99"	40303	8618	1	2	3	3	1	1	1	2	2013	9	3	2	19.5	34	0	1	1	8639	2.145277778	0.674722222	0.074166667	0.483333333	0.075	0.266666667	2	0.526944444	3	1.95	0	0.457565	1.21475236566241
"100"	56770	12191	2	0	3	2	2	3	0	3	2014	4	30	3	7.5	13	1	0	2	6684	1.556666667	0.472777778	0.427777778	0	0.330555556	0	0	0.205555556	0	0.94	0	0.217568	1.06560342319147
"101"	2515	525	3	3	4	5	1	5	0	1	2012	5	5	6	14.66666667	8	1	0	2	2253	0.580833333	0.161388889	0.091944444	0	0.147777778	0	0	0.142222222	0	0.41	0	0.25	1.06560342319147
"102"	14816	3145	0	5	3	3	1	1	1	1	2012	9	26	3	21.25	38	0	1	2	18888	4.369722222	1.448611111	0.204722222	0.55	0.214444444	0.133333333	1	0.812222222	5.4	2.86	0	0.475718	1.21475236566241
"103"	78260	16953	1	4	4	4	5	1	1	3	2015	1	28	3	17	33	0	1	2	16146	3.853611111	1.173055556	0.128888889	0.483333333	0.061388889	0.35	3	1.025833333	3.9	4.29	0	0.621988	1.21475236566241
"104"	57931	12429	0	4	3	3	6	5	0	3	2014	5	14	3	20.08333333	63	0	0	0	2941	0.740833333	0.238611111	0.287222222	0	0.177777778	0	0	0.221944444	0	0.57	0	0.465582	0.848964507070372
"105"	13023	2771	0	3	4	3	1	1	1	1	2012	9	5	3	17.5	58	0	1	2	10391	2.875555556	0.922222222	0.102222222	0.3	0.499444444	0.4	3	0.679722222	7.6	2.05	0	0.524315	0.848964507070372
"106"	12322	2618	0	5	4	3	1	5	0	1	2012	8	26	7	19	68	0	1	1	5628	1.367777778	0.435	0.160277778	0	0.265555556	0	0	0.229166667	0	0.83	0	0.0933333	0.848964507070372
"107"	5949	1216	1	9	4	5	1	1	1	1	2012	6	14	4	15.66666667	42	1	1	2	3198	0.738888889	0.202777778	0.31	0.033333333	0	0	0	0.172222222	1.5	0.58	0	0.0887097	0.836779970608957
"108"	12185	2587	1	2	4	5	1	1	1	1	2012	8	24	5	18.91666667	38	1	1	2	7431	1.865833333	0.477777778	0.287222222	0.166666667	0.127777778	0.233333333	1	0.341388889	3.3	1.24	0	0.296989	1.06560342319147
"109"	40010	8562	0	2	1	3	2	1	1	2	2013	8	31	6	18.25	53	0	1	2	712	0.156111111	0.051388889	0.072222222	0	0.032777778	0	0	0.073333333	1.5	0.13	0	0.212121	0.848964507070372
"110"	28813	6236	0	2	3	3	6	5	0	2	2013	4	20	6	14.25	75	0	0	0	2443	0.683611111	0.216111111	0.098611111	0	0.233333333	0	0	0.165555556	0	0.57	0	0.171141	0.848964507070372
"111"	57026	12240	2	2	1	3	6	3	0	3	2014	5	3	6	15.83333333	11	1	0	0	705	0.2075	0.091388889	0.095277778	0	0.095277778	0	0	0.041388889	0	0.11	0	0.194631	1.06560342319147
"112"	51557	11034	2	3	4	3	1	3	0	2	2014	1	26	7	13.33333333	15	0	0	1	3110	0.851388889	0.243611111	0.306944444	0	0.217777778	0	0	0.210277778	0	0.83	0	0.128137	1.21475236566241
"113"	16895	3566	0	1	2	5	6	1	0.5	1	2012	10	18	4	14.25	23	0	0	0	1083	0.288611111	0.093333333	0.183055556	0	0.084166667	0	0	0.078888889	0.75	0.22	0	0.147887	1.21475236566241
"114"	16330	3450	1	0	3	4	2	1	1	1	2012	10	12	5	7.75	50	0	1	1	5707	1.314166667	0.360277778	0.188055556	0	0.511111111	0.160833333	1	0.339722222	3	0.84	0	0.394113	0.848964507070372
"115"	30374	6565	0	0	4	3	2	1	1	2	2013	5	11	6	12	31	1	1	1	8747	2.062222222	0.664166667	0.175833333	0	0.795833333	0.1075	1	0.4975	3	1.28	0	0.380793	1.06560342319147
"116"	43791	9345	0	0	3	3	1	1	1	2	2013	10	13	7	12	30	1	1	1	14907	3.839722222	0.943611111	0.174444444	0.366666667	0	0.083333333	1	0.425555556	4.09	2.1	0	0.208225	1.06560342319147
"117"	70186	15186	2	2	4	3	1	5	0	3	2014	10	15	3	17	5	0	0	1	1114	0.316666667	0.110277778	0.232222222	0	0.058055556	0	0	0.128055556	0	0.3	0	0.221258	1.21475236566241
"118"	19264	4075	0	0	3	3	6	5	0	1	2012	11	14	3	10.33333333	81	1	0	0	2598	0.579444444	0.1825	0.017222222	0	0.177222222	0	0	0.136111111	0	0.41	0	0.371429	0.836779970608957
"119"	35920	7676	0	2	4	3	1	1	1	2	2013	7	12	5	10.4	42	1	1	1	1527	0.494166667	0.168611111	0.214166667	0	0.172222222	0	0	0.159722222	1.5	0.41	0	0.116522	0.836779970608957
"120"	71641	15519	0	3	1	3	6	1	1	3	2014	11	1	6	19	42	0	1	0	387	0.085555556	0.029444444	0.041388889	0	0.015	0	0	0.039444444	1.5	0.07	0	0.323944	0.848964507070372
"121"	33895	7271	2	0	3	2	1	4	0.5	2	2013	6	21	5	8.25	19	1	0	1	2446	0.590555556	0.182222222	0.1375	0	0.239722222	0	0	0.152777778	0.75	0.45	0	0.323636	1.06560342319147
"122"	34323	7361	0	1	4	5	1	1	1	2	2013	6	26	3	18.83333333	56	1	1	1	995	0.253333333	0.13	0.158055556	0	0.080833333	0	0	0.1	1.5	0.27	0	0.333333	0.836779970608957
"123"	20079	4249	1	0	4	3	1	1	1	1	2012	11	26	1	7.333333333	43	0	1	1	1062	0.303611111	0.109444444	0.137777778	0.033333333	0	0	0	0.092222222	1.7	0.25	0	0.295181	0.848964507070372
"124"	17879	3776	1	0	3	1	6	1	0	1	2012	10	29	1	6.333333333	46	1	0	0	3673	0.9675	0.290555556	0.2025	0	0.22	0	0	0.186111111	0	0.59	0	0.191045	0.836779970608957
